"edu_id","match_fam_id","edu_BirthYear","edu_GenderNum","edu_GenderNum.1","edu_ParentOcc","edu_ParentSES","edu_AdmissionYear","edu_YearStart","edu_YearFinish","edu_YearsOut","edu_SchoolLeavingAge","edu_LeaveIslands","edu_CompletedEdu","edu_FurtherEduVOther","edu_StaysCompletedEdu","adult_fam.id","adult_SES","adult_Fertility","deaths_id","deaths_DeathAge"
1790,1004,1905,"0","0","",NA,1911,1911,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2950,934,1943,"0","0","Customs.Officer",61.5,1951,1951,1951,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
1460,200,1896,"1","1","Farmer",51.61,1903,1903,1910,NA,14,"0","1",NA,1,NA,NA,NA,3668,55
2697,767,1938,"0","0","Coastguard",57.72,1943,1943,1944,NA,6,"1",NA,NA,NA,NA,NA,NA,NA,NA
2495,635,1928,"0","0","Labourer",34.52,1934,1934,1939,NA,11,"0","0","1",NA,NA,NA,NA,NA,NA
2879,881,1945,"0","0","Farmer",51.61,1950,1950,1956,NA,11,"1","0","1",NA,NA,NA,NA,NA,NA
2452,604,1926,"0","0","Farmer",51.61,1932,1932,1941,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
2157,1004,1908,"0","0","Gentleman",NA,1921,1921,1923,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
2359,537,1923,"1","1","Engineer",82.83,1928,1928,1933,NA,10,"1","0","1",NA,NA,NA,NA,NA,NA
1238,132,1883,"1","1","Lightkeeper",51.63,1890,1890,1894,NA,11,"0",NA,NA,NA,NA,NA,NA,3108,11
1034,32,1874,"1","1","Labourer",34.52,1881,1881,1888,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1225,127,1879,"1","1","Coastguard",57.72,1890,1890,1891,NA,12,"0",NA,NA,NA,NA,NA,NA,NA,NA
1485,260,1892,"1","1","Lightkeeper",51.63,1905,1905,1907,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
1414,44,1893,"1","1","Labourer",34.52,1900,1900,NA,NA,NA,"0","1","0",1,NA,NA,NA,NA,NA
1166,105,1877,"1","1","Carpenter",50,1887,1887,1889,NA,12,"0",NA,NA,NA,NA,NA,NA,NA,NA
1439,237,1892,"1","1","Coastguard",57.72,1901,1901,1902,NA,10,"1",NA,NA,NA,NA,NA,NA,NA,NA
